age,sex,bmi,children,smoker,region,expenses
58,female,33.1,0,no,southwest,11848.14
53,female,33.3,0,no,northeast,10564.88
63,female,31.8,0,no,southwest,13880.95
30,female,43.1,2,no,southeast,4753.64
61,male,36.1,3,no,southwest,27941.29
42,female,25.0,2,no,northwest,8017.06
52,female,30.9,0,no,northeast,23045.57
28,female,25.9,1,no,northwest,4133.64
21,male,25.7,4,yes,southwest,17942.11
52,male,26.4,3,no,southeast,25992.82
25,female,22.5,1,no,northwest,3594.17
22,male,39.5,0,no,southwest,1682.6
38,male,37.1,1,no,northeast,6079.67
46,female,32.3,2,no,northeast,9411.01
48,female,33.3,0,no,southeast,8283.68
39,male,32.3,2,no,southeast,6338.08
44,male,38.1,1,no,southeast,7152.67
36,female,29.9,0,no,southeast,4889.04
27,male,32.6,3,no,northeast,4846.92
56,female,25.7,0,no,northwest,11454.02
28,female,33.0,2,no,southeast,4349.46
45,female,25.7,3,no,southwest,9101.8
20,male,33.3,0,no,southeast,1391.53
62,male,26.7,0,yes,northeast,28101.33
32,female,29.8,2,no,southwest,5152.13
23,female,36.7,2,yes,northeast,38511.63
22,male,52.6,1,yes,southeast,44501.4
50,male,31.8,0,yes,northeast,41097.16
30,male,31.6,3,no,southeast,4837.58
55,male,32.8,0,no,northwest,10601.63
43,female,30.7,2,no,northwest,8310.84
53,male,36.6,3,no,southwest,11264.54
62,female,38.1,2,no,northeast,15230.32
64,female,23.0,0,yes,southeast,27037.91
47,female,26.1,1,yes,northeast,23401.31
31,male,27.6,2,no,northeast,5031.27
33,male,35.8,1,yes,southeast,38282.75
41,male,32.2,2,no,southwest,6875.96
32,male,28.9,1,yes,southeast,19719.69
20,female,33.0,0,no,southeast,1880.07
30,female,23.7,3,yes,northwest,18765.88
35,female,23.5,2,no,northeast,6402.29
30,female,28.4,1,no,northwest,4527.18
19,female,28.9,0,no,southwest,1743.21
41,male,40.3,0,no,southeast,5709.16
56,male,36.1,3,no,southwest,12363.55
61,male,23.7,0,no,northeast,13129.6
18,male,35.2,1,no,southeast,1727.54
44,male,30.7,2,no,southeast,7731.43
53,male,20.9,0,yes,southeast,21195.82
18,male,21.5,0,no,northeast,1702.46
53,female,22.9,1,yes,southeast,23244.79
19,male,33.1,0,no,southwest,23082.96
26,male,46.5,1,no,southeast,2927.06
58,female,32.4,1,no,northeast,13019.16
34,female,31.9,1,yes,northeast,37701.88
49,female,30.8,1,no,northeast,9778.35
20,male,33.0,1,no,southwest,1980.07
60,male,28.6,0,no,northeast,30260.0
43,female,26.7,2,yes,southwest,22478.6
37,female,30.8,2,no,southeast,6313.76
23,male,27.4,1,no,northwest,2789.06
34,female,33.3,1,no,northeast,5594.85
41,male,34.2,2,no,northwest,7261.74
52,female,38.4,2,no,northeast,11396.9
24,male,35.9,0,no,southeast,1986.93
28,female,23.8,2,no,northwest,4719.74
41,female,33.1,2,no,northwest,7749.16
43,female,35.6,1,no,southeast,7345.73
49,male,29.8,1,no,northeast,9288.03
59,female,35.2,0,no,southeast,12244.53
23,male,41.9,0,no,southeast,1837.28
32,female,28.9,0,no,southeast,3972.92
35,male,34.3,3,no,southeast,5934.38
35,female,35.9,2,no,southeast,5836.52
45,female,38.3,0,no,northeast,7935.29
39,female,32.8,0,no,southwest,5649.72
59,male,37.1,1,no,southwest,12347.17
33,male,35.2,0,no,northeast,12404.88
42,male,30.0,0,yes,southwest,22144.03
44,female,39.0,0,yes,northwest,42983.46
37,female,30.8,0,yes,northeast,37270.15
36,female,26.9,0,no,northwest,5267.82
51,female,33.9,0,no,northeast,9866.3
26,male,35.4,0,no,southeast,2322.62
52,female,37.5,2,no,northwest,33471.97
25,male,25.7,0,no,southeast,2137.65
49,male,25.6,2,yes,southwest,23306.55
33,male,27.5,2,no,northwest,5261.47
31,female,29.1,0,no,southwest,3761.29
51,female,36.4,3,no,northwest,11436.74
35,male,30.5,1,no,southwest,4751.07
53,female,36.9,3,yes,northwest,46661.44
23,female,28.1,0,no,northwest,2690.11
18,male,41.1,0,no,southeast,1146.8
32,male,33.6,1,yes,northeast,37607.53
38,female,40.6,1,no,northwest,6373.56
34,male,34.7,0,no,northeast,4518.83
62,male,32.1,0,no,northeast,13555.0
47,female,29.4,1,no,southeast,8547.69
19,female,33.1,0,yes,southeast,34439.86
40,male,32.8,1,yes,northeast,39125.33
58,female,31.8,2,no,northeast,13607.37
19,female,25.7,1,no,northwest,2710.83
64,male,25.6,2,no,southwest,14988.43
23,male,24.5,0,no,northeast,2396.1
23,male,32.7,3,no,southwest,3591.48
42,male,37.2,2,no,southeast,7162.01
63,female,37.7,0,yes,southwest,48824.45
57,female,31.2,0,yes,northwest,43578.94
44,male,31.4,1,yes,northeast,39556.49
25,female,30.3,0,no,southwest,2632.99
49,female,21.3,1,no,southwest,9182.17
39,female,32.5,1,no,southwest,6238.3
39,male,42.7,0,no,northeast,5757.41
31,male,25.9,1,no,northwest,4239.89
22,female,27.1,0,no,southwest,2154.36
47,male,25.4,1,yes,southeast,21978.68
19,male,27.7,0,yes,southwest,16297.85
64,male,40.5,0,no,southeast,13831.12
32,female,17.8,2,yes,northwest,32734.19
57,female,23.2,0,no,northwest,11830.61
63,female,27.7,0,yes,northeast,29523.17
21,female,16.8,1,no,northeast,3167.46
47,male,19.6,1,no,northwest,8428.07
34,female,33.7,1,no,southwest,5012.47
29,male,22.5,3,no,northeast,5209.58
24,female,33.3,0,no,northwest,2855.44
29,male,29.6,1,no,northeast,20277.81
30,female,27.7,0,no,southwest,3554.2
47,female,45.3,1,no,southeast,8569.86
55,male,27.6,0,no,northwest,10594.5
23,male,37.1,3,no,southwest,3597.6
18,female,29.2,0,no,northeast,7323.73
22,female,23.2,0,no,northeast,2731.91
31,male,36.3,2,yes,southwest,38711.0
62,male,38.8,0,no,southeast,12981.35
51,female,34.1,0,no,southeast,9283.56
19,female,24.5,1,no,northwest,2709.11
54,female,28.9,2,no,northeast,12096.65
18,female,26.3,0,no,northeast,2198.19
50,female,25.6,0,no,southwest,8932.08
26,female,22.2,0,no,northwest,3176.29
52,male,27.4,0,yes,northwest,24393.62
30,male,44.2,2,no,southeast,4266.17
19,male,27.3,2,no,northwest,22493.66
20,female,26.8,1,yes,southeast,17085.27
27,female,24.8,0,yes,southeast,16577.78
50,male,26.4,0,no,northwest,8827.21
22,female,21.3,3,no,northwest,4296.27
48,male,40.2,0,no,southeast,7804.16
25,female,20.8,1,no,southwest,3208.79
62,male,21.4,0,no,southwest,12957.12
57,female,24.0,1,no,southeast,22192.44
46,female,48.1,2,no,northeast,9432.93
26,male,27.1,0,yes,southeast,17043.34
40,male,25.0,2,no,southeast,6593.51
30,female,27.9,0,no,northeast,4137.52
33,female,28.3,1,no,southeast,4779.6
59,female,27.8,3,no,southeast,14001.29
60,female,24.5,0,no,southeast,12629.9
35,female,34.2,1,no,southeast,5245.23
21,female,35.7,0,no,northwest,2404.73
44,male,39.5,0,no,northwest,6948.7
37,male,46.5,3,no,southeast,6435.62
43,male,38.1,2,yes,southeast,42560.43
22,male,32.1,0,no,northwest,2055.32
28,male,31.7,0,yes,southeast,34672.15
19,female,20.6,0,no,southwest,1731.68
19,male,30.6,0,no,northwest,1639.56
51,male,30.0,1,no,southeast,9377.9
49,female,41.5,4,no,southeast,10977.21
21,male,36.9,0,no,southeast,1534.3
51,female,18.1,0,no,northwest,9644.25
29,female,24.6,2,no,southwest,4529.48
43,male,27.8,0,yes,southwest,37829.72
52,female,18.3,0,no,northwest,9991.04
49,male,36.9,0,no,southeast,8125.78
26,male,30.9,2,no,northwest,3877.3
42,male,34.1,0,no,southwest,5979.73
42,female,40.4,2,yes,southeast,43896.38
22,male,33.8,0,no,southeast,1674.63
60,female,18.3,0,no,northeast,13204.29
29,male,35.5,2,yes,southwest,44585.46
25,female,34.5,0,no,northwest,3021.81
26,female,29.9,1,no,southeast,3392.98
19,male,25.2,0,no,northwest,1632.04
26,male,31.1,0,no,northwest,2699.57
28,female,27.5,2,no,southwest,20177.67
32,male,31.5,1,no,southwest,4076.5
52,female,46.8,5,no,southeast,12592.53
19,male,17.5,0,no,northwest,1621.34
20,female,29.6,0,no,southwest,1875.34
40,male,35.3,3,no,southwest,7196.87
28,female,25.8,0,no,southwest,3161.45
57,female,22.2,0,no,northeast,12029.29
19,female,31.8,1,no,northwest,2719.28
25,female,32.2,1,no,southeast,18218.16
60,male,28.9,0,no,southwest,12146.97
26,male,33.9,1,no,northwest,3292.53
49,male,22.5,0,no,northeast,8688.86
31,female,30.5,3,no,northeast,6113.23
40,female,28.7,3,no,northwest,8059.68
61,female,21.1,0,no,northwest,13415.04
27,male,29.2,0,yes,southeast,18246.5
63,male,35.1,0,yes,southeast,47055.53
58,female,27.2,0,no,northwest,12222.9
38,male,28.0,1,no,northeast,6067.13
54,female,47.4,0,yes,southeast,63770.43
51,female,34.2,1,no,southwest,9872.7
